"geo_vt","geo_ward","geo_ehovill","xy"
"MMR003001039","","","MMR003001039"
"MMR003001039","","","MMR003001039"
"MMR003001039","","","MMR003001039"
"MMR003001039","","","MMR003001039"
"MMR003001039","","","MMR003001039"
"MMR003001039","","","MMR003001039"
"MMR003001039","","","MMR003001039"
"MMR003001039","","","MMR003001039"
"MMR003001039","","","MMR003001039"
"MMR003005014","","","MMR003005014"
"MMR003005014","","","MMR003005014"
"MMR003005014","","","MMR003005014"
"MMR003005014","","","MMR003005014"
"MMR003005014","","","MMR003005014"
"MMR003005014","","","MMR003005014"
"MMR003005014","","","MMR003005014"
"MMR003005014","","","MMR003005014"
"MMR003005014","","","MMR003005014"
"MMR003005014","","","MMR003005014"
"MMR003005014","","","MMR003005014"
"MMR003005014","","","MMR003005014"
"MMR003005014","","","MMR003005014"
"MMR003005014","","","MMR003005014"
"","MMR003005701505","","MMR003005701505"
"MMR003002040","","","MMR003002040"
"","MMR003005701505","","MMR003005701505"
"","MMR003005701504","","MMR003005701504"
"","MMR003005701505","","MMR003005701505"
"MMR003002009","","","MMR003002009"
"MMR003002009","","","MMR003002009"
"","MMR003005701505","","MMR003005701505"
"","MMR003005701505","","MMR003005701505"
"","MMR003005701505","","MMR003005701505"
"MMR003002009","","","MMR003002009"
"","MMR003005701505","","MMR003005701505"
"MMR003002009","","","MMR003002009"
"MMR003002009","","","MMR003002009"
"MMR003002009","","","MMR003002009"
"MMR003002009","","","MMR003002009"
"","MMR003005701503","","MMR003005701503"
"MMR003002009","","","MMR003002009"
"MMR003001077","","","MMR003001077"
"MMR003001077","","","MMR003001077"
"MMR003001077","","","MMR003001077"
"MMR003001077","","","MMR003001077"
"MMR003001077","","","MMR003001077"
"MMR003001077","","","MMR003001077"
"MMR003001077","","","MMR003001077"
"MMR003001077","","","MMR003001077"
"MMR003001077","","","MMR003001077"
"MMR003001077","","","MMR003001077"
"MMR003001077","","","MMR003001077"
"MMR003001077","","","MMR003001077"
"MMR003001077","","","MMR003001077"
"MMR003001077","","","MMR003001077"
"MMR003002009","","","MMR003002009"
"MMR003002009","","","MMR003002009"
"MMR003002009","","","MMR003002009"
"MMR003002009","","","MMR003002009"
"MMR003002009","","","MMR003002009"
"MMR003002009","","","MMR003002009"
"","","ehokayinvill_25","ehokayinvill_25"
"","","ehokayinvill_25","ehokayinvill_25"
"","","ehokayinvill_25","ehokayinvill_25"
"","","ehokayinvill_25","ehokayinvill_25"
"","","ehokayinvill_30","ehokayinvill_30"
"","","ehokayinvill_30","ehokayinvill_30"
"","","ehokayinvill_30","ehokayinvill_30"
"","","ehokayinvill_30","ehokayinvill_30"
"","","ehokayinvill_29","ehokayinvill_29"
"","","ehokayinvill_29","ehokayinvill_29"
"","","ehokayinvill_29","ehokayinvill_29"
"","","ehokayinvill_25","ehokayinvill_25"
"","","ehokayinvill_25","ehokayinvill_25"
"","","ehokayinvill_25","ehokayinvill_25"
"","","ehokayinvill_30","ehokayinvill_30"
"","","ehokayinvill_30","ehokayinvill_30"
"","","ehokayinvill_29","ehokayinvill_29"
"","","ehokayinvill_25","ehokayinvill_25"
"","","ehokayinvill_25","ehokayinvill_25"
"","","ehokayinvill_25","ehokayinvill_25"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003001065","","","MMR003001065"
"MMR003005012","","","MMR003005012"
"MMR003005012","","","MMR003005012"
"","MMR003005701505","","MMR003005701505"
"","MMR003005701502","","MMR003005701502"
"MMR003005012","","","MMR003005012"
"MMR003005012","","","MMR003005012"
"MMR003005012","","","MMR003005012"
"MMR003005012","","","MMR003005012"
"MMR003005012","","","MMR003005012"
"MMR003005012","","","MMR003005012"
"MMR003005012","","","MMR003005012"
"MMR003005012","","","MMR003005012"
"MMR003005012","","","MMR003005012"
"MMR003005012","","","MMR003005012"
"MMR003005012","","","MMR003005012"
"MMR003005012","","","MMR003005012"
"MMR003002051","","","MMR003002051"
"MMR003002051","","","MMR003002051"
"MMR003002051","","","MMR003002051"
"MMR003005012","","","MMR003005012"
"MMR003005012","","","MMR003005012"
"MMR003001016","","","MMR003001016"
"MMR003001016","","","MMR003001016"
"MMR003001016","","","MMR003001016"
"MMR003001016","","","MMR003001016"
"MMR003001016","","","MMR003001016"
"MMR003001016","","","MMR003001016"
"MMR003002051","","","MMR003002051"
"MMR003002051","","","MMR003002051"
"MMR003001016","","","MMR003001016"
"MMR003001016","","","MMR003001016"
"MMR003001016","","","MMR003001016"
"MMR003001016","","","MMR003001016"
"MMR003001016","","","MMR003001016"
"MMR003001016","","","MMR003001016"
"MMR003002051","","","MMR003002051"
"","MMR003005701505","","MMR003005701505"
"MMR003002051","","","MMR003002051"
"MMR003002051","","","MMR003002051"
"MMR003002051","","","MMR003002051"
"MMR003002051","","","MMR003002051"
"MMR003002051","","","MMR003002051"
"MMR003002051","","","MMR003002051"
"MMR003002051","","","MMR003002051"
"MMR003002051","","","MMR003002051"
"MMR003005003","","","MMR003005003"
"MMR003005003","","","MMR003005003"
"MMR003005003","","","MMR003005003"
"MMR003005003","","","MMR003005003"
"MMR003001055","","","MMR003001055"
"MMR003001055","","","MMR003001055"
"MMR003001055","","","MMR003001055"
"MMR003001055","","","MMR003001055"
"MMR003001055","","","MMR003001055"
"MMR003001055","","","MMR003001055"
"MMR003001055","","","MMR003001055"
"MMR003001055","","","MMR003001055"
"MMR003001055","","","MMR003001055"
"MMR003001055","","","MMR003001055"
"MMR003001055","","","MMR003001055"
"MMR003001055","","","MMR003001055"
"MMR003005003","","","MMR003005003"
"MMR003005003","","","MMR003005003"
"MMR003005003","","","MMR003005003"
"MMR003005003","","","MMR003005003"
"MMR003005003","","","MMR003005003"
"MMR003005003","","","MMR003005003"
"MMR003005003","","","MMR003005003"
"MMR003005003","","","MMR003005003"
"MMR003005003","","","MMR003005003"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"MMR003005003","","","MMR003005003"
"","MMR002001701502","","MMR002001701502"
"MMR003005003","","","MMR003005003"
"MMR003005003","","","MMR003005003"
"","MMR002001701502","","MMR002001701502"
"","MMR002001701501","","MMR002001701501"
"","MMR002001701502","","MMR002001701502"
"MMR003001005","","","MMR003001005"
"MMR003001005","","","MMR003001005"
"MMR003001005","","","MMR003001005"
"MMR003001005","","","MMR003001005"
"","MMR002001701502","","MMR002001701502"
"","MMR002001701502","","MMR002001701502"
"MMR003001005","","","MMR003001005"
"","MMR002001701501","","MMR002001701501"
"MMR003001005","","","MMR003001005"
"MMR003001005","","","MMR003001005"
"","MMR002001701501","","MMR002001701501"
"MMR003001005","","","MMR003001005"
"MMR003001005","","","MMR003001005"
"MMR003001005","","","MMR003001005"
"MMR003001005","","","MMR003001005"
"","MMR002001701501","","MMR002001701501"
"MMR003001005","","","MMR003001005"
"","MMR002001701501","","MMR002001701501"
"MMR003001005","","","MMR003001005"
"MMR003001005","","","MMR003001005"
"","MMR002001701501","","MMR002001701501"
"","MMR002001701501","","MMR002001701501"
"","MMR002001701501","","MMR002001701501"
"","MMR002001701501","","MMR002001701501"
"","MMR002001701501","","MMR002001701501"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"MMR003002067","","","MMR003002067"
"","MMR002001701502","","MMR002001701502"
"","MMR002001701502","","MMR002001701502"
"","MMR002001701502","","MMR002001701502"
